Geographic Area Name,Zone,No vehicle available,1 vehicle available,2 vehicles available,3 or more vehicles available,Transportation_type
Census Tract 144.02,Yorkville East,13,239,36,0,drove_alone
Census Tract 145,Lincoln Square East,118,48,0,0,drove_alone
Census Tract 146.01,Yorkville West,50,33,0,0,drove_alone
Census Tract 146.02,Yorkville West,112,227,22,0,drove_alone
Census Tract 147,Lincoln Square West,35,145,0,0,drove_alone
Census Tract 148.01,Upper East Side North,10,47,48,0,drove_alone
Census Tract 148.02,Upper East Side North,8,171,0,0,drove_alone
Census Tract 149,Lincoln Square East,99,179,0,0,drove_alone
Census Tract 150.01,Upper East Side North,0,46,6,0,drove_alone
Census Tract 150.02,Upper East Side North,14,177,67,0,drove_alone
Census Tract 151.01,Lincoln Square West,45,0,0,0,drove_alone
Census Tract 151.02,Lincoln Square West,65,142,38,0,drove_alone
Census Tract 152,Old Astoria,105,268,19,0,drove_alone
Census Tract 153.01,Lincoln Square East,39,50,0,0,drove_alone
Census Tract 153.02,Lincoln Square East,0,60,35,0,drove_alone
Census Tract 154.01,Yorkville West,0,270,0,0,drove_alone
Census Tract 154.02,Yorkville West,0,31,0,0,drove_alone
Census Tract 154.03,Yorkville West,111,56,0,0,drove_alone
Census Tract 155.01,Lincoln Square West,140,36,29,0,drove_alone
Census Tract 155.02,Lincoln Square West,0,23,0,0,drove_alone
Census Tract 156.01,Yorkville West,29,44,0,0,drove_alone
Census Tract 156.02,East Harlem South,0,16,0,0,drove_alone
Census Tract 157,Lincoln Square East,0,368,0,0,drove_alone
Census Tract 158.01,Upper East Side North,0,198,29,0,drove_alone
Census Tract 158.02,East Harlem South,54,62,0,0,drove_alone
Census Tract 159,Lincoln Square West,34,281,19,0,drove_alone
Census Tract 160.01,Upper East Side North,14,61,18,0,drove_alone
Census Tract 160.02,East Harlem South,16,40,0,0,drove_alone
Census Tract 161,Upper West Side South,109,171,0,0,drove_alone
Census Tract 162,Astoria Park,40,251,39,0,drove_alone
Census Tract 163,Upper West Side South,62,27,21,0,drove_alone
Census Tract 164,East Harlem South,57,105,57,0,drove_alone
Census Tract 165,Upper West Side South,143,143,0,0,drove_alone
Census Tract 166,East Harlem South,0,108,0,0,drove_alone
Census Tract 167,Upper West Side South,26,86,22,0,drove_alone
Census Tract 168,East Harlem South,30,131,0,0,drove_alone
Census Tract 169,Upper West Side South,53,330,63,0,drove_alone
Census Tract 170,East Harlem South,0,91,0,0,drove_alone
Census Tract 171,Upper West Side South,59,112,0,0,drove_alone
Census Tract 172,East Harlem South,24,6,38,0,drove_alone
Census Tract 173,Upper West Side North,182,307,0,30,drove_alone
Census Tract 174.01,East Harlem South,34,165,0,0,drove_alone
Census Tract 174.02,East Harlem South,16,15,0,0,drove_alone
Census Tract 175,Upper West Side North,98,140,7,0,drove_alone
Census Tract 177,Upper West Side North,0,76,18,0,drove_alone
Census Tract 178,East Harlem North,21,138,0,0,drove_alone
Census Tract 179,Upper West Side North,49,132,0,0,drove_alone
Census Tract 180,East Harlem North,0,57,0,0,drove_alone
Census Tract 181,Upper West Side North,0,0,0,43,drove_alone
Census Tract 182,East Harlem North,0,87,54,0,drove_alone
Census Tract 183,Upper West Side North,78,208,43,0,drove_alone
Census Tract 184,East Harlem North,0,180,0,0,drove_alone
Census Tract 185,Manhattan Valley,16,92,0,0,drove_alone
Census Tract 186,Central Harlem,0,120,0,0,drove_alone
Census Tract 187,Manhattan Valley,27,125,0,0,drove_alone
Census Tract 188,East Harlem North,26,118,0,0,drove_alone
Census Tract 189,Manhattan Valley,1,157,29,0,drove_alone
Census Tract 190,Central Harlem,40,104,72,0,drove_alone
Census Tract 191,Manhattan Valley,146,119,0,0,drove_alone
Census Tract 192,East Harlem North,26,70,0,0,drove_alone
Census Tract 193,Bloomingdale,0,235,0,0,drove_alone
Census Tract 194,East Harlem North,55,126,0,92,drove_alone
Census Tract 195,Bloomingdale,13,169,0,0,drove_alone
Census Tract 196,East Harlem North,21,26,47,0,drove_alone
Census Tract 197.01,Morningside Heights,0,32,27,9,drove_alone
Census Tract 197.02,Central Harlem,46,54,0,0,drove_alone
Census Tract 198,East Harlem North,0,63,309,0,drove_alone
Census Tract 199,Morningside Heights,75,148,0,28,drove_alone
Census Tract 200,Central Harlem,27,102,0,3,drove_alone
Census Tract 201.01,Morningside Heights,31,0,0,0,drove_alone
Census Tract 201.02,Central Harlem,30,150,0,0,drove_alone
Census Tract 203,Morningside Heights,23,9,0,0,drove_alone
Census Tract 205,Morningside Heights,28,32,30,0,drove_alone
Census Tract 206,Central Harlem North,42,75,0,0,drove_alone
Census Tract 207.01,Morningside Heights,9,30,0,0,drove_alone
Census Tract 208,Central Harlem North,146,182,95,60,drove_alone
Census Tract 209.01,Morningside Heights,20,55,0,0,drove_alone
Census Tract 210,East Harlem North,0,171,53,69,drove_alone
Census Tract 211,Morningside Heights,277,222,0,0,drove_alone
Census Tract 212,Central Harlem North,18,191,0,0,drove_alone
Census Tract 213.03,Manhattanville,17,248,0,0,drove_alone
Census Tract 214,Central Harlem North,16,164,7,0,drove_alone
Census Tract 215,Central Harlem North,0,31,0,0,drove_alone
Census Tract 216,Central Harlem,116,202,0,40,drove_alone
Census Tract 218,Central Harlem,28,249,47,0,drove_alone
Census Tract 219,Manhattanville,10,128,0,0,drove_alone
Census Tract 220,Central Harlem,0,150,0,0,drove_alone
Census Tract 221.02,Central Harlem North,0,97,98,0,drove_alone
Census Tract 223.01,Manhattanville,13,107,0,0,drove_alone
Census Tract 223.02,Manhattanville,12,48,0,0,drove_alone
Census Tract 224,Central Harlem North,28,104,0,0,drove_alone
Census Tract 225,Hamilton Heights,71,253,0,0,drove_alone
Census Tract 226,Central Harlem North,43,28,0,0,drove_alone
Census Tract 227,Hamilton Heights,8,30,0,0,drove_alone
Census Tract 228,Central Harlem North,24,153,251,0,drove_alone
Census Tract 229,Hamilton Heights,0,257,0,0,drove_alone
Census Tract 230,Central Harlem North,67,173,110,0,drove_alone
Census Tract 231,Hamilton Heights,20,291,0,0,drove_alone
Census Tract 232,Central Harlem North,0,161,0,0,drove_alone
Census Tract 233,Hamilton Heights,7,144,18,28,drove_alone
Census Tract 234,Central Harlem North,31,204,0,0,drove_alone
Census Tract 235.01,Hamilton Heights,0,139,99,0,drove_alone
Census Tract 235.02,Central Harlem North,0,26,41,0,drove_alone
Census Tract 236,Central Harlem North,86,222,0,0,drove_alone
Census Tract 237,Hamilton Heights,0,167,0,0,drove_alone
Census Tract 238.02,Queensbridge/Ravenswood,14,69,7,0,drove_alone
Census Tract 238.03,Queensbridge/Ravenswood,0,37,0,0,drove_alone
Census Tract 238.04,Long Island City/Hunters Point,0,104,0,0,drove_alone
Census Tract 239,Washington Heights South,34,19,0,0,drove_alone
Census Tract 241,Washington Heights South,57,247,49,0,drove_alone
Census Tract 242,East Harlem North,40,82,8,0,drove_alone
Census Tract 243.01,Washington Heights South,15,128,7,37,drove_alone
Census Tract 243.02,Central Harlem North,174,61,0,0,drove_alone
Census Tract 245,Washington Heights South,31,60,0,0,drove_alone
Census Tract 247,Washington Heights South,181,309,0,0,drove_alone
Census Tract 249,Washington Heights South,0,35,16,0,drove_alone
Census Tract 251,Washington Heights South,86,47,0,0,drove_alone
Census Tract 253,Washington Heights South,123,288,0,0,drove_alone
Census Tract 255,Washington Heights South,80,22,0,0,drove_alone
Census Tract 257,Central Harlem,41,207,42,0,drove_alone
Census Tract 259,Central Harlem North,69,215,11,0,drove_alone
Census Tract 261,Washington Heights South,282,382,0,70,drove_alone
Census Tract 263,Washington Heights South,149,284,0,0,drove_alone
Census Tract 265,Washington Heights South,159,221,77,0,drove_alone
Census Tract 267,Washington Heights North,0,136,22,0,drove_alone
Census Tract 269,Washington Heights North,118,233,89,0,drove_alone
Census Tract 271,Washington Heights North,21,61,58,5,drove_alone
Census Tract 273,Washington Heights North,14,148,37,0,drove_alone
Census Tract 275,Washington Heights North,37,53,30,0,drove_alone
Census Tract 277,Washington Heights North,16,76,0,0,drove_alone
Census Tract 279,Washington Heights North,68,346,33,0,drove_alone
Census Tract 281,Washington Heights North,50,63,29,0,drove_alone
Census Tract 283,Washington Heights North,44,209,11,0,drove_alone
Census Tract 285,Washington Heights North,0,139,113,0,drove_alone
Census Tract 287,Washington Heights North,75,46,146,0,drove_alone
Census Tract 291,Inwood,32,257,63,0,drove_alone
Census Tract 293,Inwood,46,500,213,0,drove_alone
Census Tract 295,Inwood,108,254,93,14,drove_alone
Census Tract 299,Inwood,14,136,37,0,drove_alone
Census Tract 303,Inwood,18,90,3,0,drove_alone
Census Tract 307,Inwood,15,133,44,0,drove_alone
Census Tract 309,Marble Hill,107,380,125,44,drove_alone
Census Tract 317.03,Battery Park City,57,263,0,0,drove_alone
Census Tract 317.04,Battery Park City,141,315,0,0,drove_alone
Census Tract 1.01,Long Island City/Hunters Point,27,165,0,0,drove_alone
Census Tract 1.02,Long Island City/Hunters Point,24,172,40,0,drove_alone
Census Tract 2,Woodhaven,0,148,158,35,drove_alone
Census Tract 4,Woodhaven,5,285,262,93,drove_alone
Census Tract 6,Woodhaven,13,270,152,62,drove_alone
Census Tract 7.01,Long Island City/Hunters Point,58,112,0,0,drove_alone
Census Tract 7.02,Long Island City/Hunters Point,26,108,57,0,drove_alone
Census Tract 8,Woodhaven,31,125,203,76,drove_alone
Census Tract 10,Woodhaven,43,236,166,28,drove_alone
Census Tract 12,Woodhaven,16,198,110,16,drove_alone
Census Tract 14,Woodhaven,0,181,146,78,drove_alone
Census Tract 16,Woodhaven,7,118,125,8,drove_alone
Census Tract 18,Woodhaven,13,308,138,66,drove_alone
Census Tract 19.01,Long Island City/Hunters Point,0,35,36,0,drove_alone
Census Tract 19.02,Long Island City/Hunters Point,102,379,15,0,drove_alone
Census Tract 19.03,Long Island City/Hunters Point,0,13,17,39,drove_alone
Census Tract 20,Woodhaven,0,54,61,56,drove_alone
Census Tract 22,Woodhaven,46,152,172,10,drove_alone
Census Tract 24,Richmond Hill,0,57,175,14,drove_alone
Census Tract 25,Queensbridge/Ravenswood,28,51,0,32,drove_alone
Census Tract 26,Richmond Hill,0,118,137,117,drove_alone
Census Tract 28,Richmond Hill,0,222,271,211,drove_alone
Census Tract 30,Woodhaven,6,87,146,69,drove_alone
Census Tract 31,Long Island City/Queens Plaza,11,71,0,26,drove_alone
Census Tract 32,Woodhaven,0,74,52,26,drove_alone
Census Tract 33.01,Long Island City/Queens Plaza,0,188,0,0,drove_alone
Census Tract 33.02,Long Island City/Queens Plaza,37,0,0,23,drove_alone
Census Tract 34,Woodhaven,16,154,76,91,drove_alone
Census Tract 36,Woodhaven,58,153,296,59,drove_alone
Census Tract 38,Woodhaven,0,191,141,0,drove_alone
Census Tract 39,Queensbridge/Ravenswood,5,101,22,0,drove_alone
Census Tract 40.01,Woodhaven,16,110,145,76,drove_alone
Census Tract 40.02,Ozone Park,9,101,48,17,drove_alone
Census Tract 42,Woodhaven,0,303,115,82,drove_alone
Census Tract 43,Queensbridge/Ravenswood,18,149,0,0,drove_alone
Census Tract 44.01,Ozone Park,18,214,294,112,drove_alone
Census Tract 45,Astoria,0,67,118,40,drove_alone
Census Tract 47,Astoria,5,51,0,12,drove_alone
Census Tract 51,Long Island City/Queens Plaza,13,104,0,4,drove_alone
Census Tract 52,Woodhaven,0,162,62,239,drove_alone
Census Tract 53,Astoria,25,108,30,0,drove_alone
Census Tract 54,Ozone Park,0,326,326,130,drove_alone
Census Tract 55,Long Island City/Queens Plaza,0,56,9,0,drove_alone
Census Tract 57,Astoria,24,185,75,0,drove_alone
Census Tract 58,Ozone Park,0,503,370,307,drove_alone
Census Tract 59,Astoria,69,216,10,0,drove_alone
Census Tract 61,Astoria,74,122,25,0,drove_alone
Census Tract 62.01,Howard Beach,0,559,607,67,drove_alone
Census Tract 62.02,Howard Beach,0,385,915,161,drove_alone
Census Tract 63,Astoria,15,308,90,0,drove_alone
Census Tract 65.01,Astoria,31,215,54,0,drove_alone
Census Tract 65.02,Astoria,23,265,0,13,drove_alone
Census Tract 69,Old Astoria,81,125,18,0,drove_alone
Census Tract 71,Old Astoria,7,115,10,0,drove_alone
Census Tract 73,Old Astoria,45,182,4,0,drove_alone
Census Tract 75,Astoria,16,197,62,0,drove_alone
Census Tract 77,Astoria,11,98,6,6,drove_alone
Census Tract 79,Old Astoria,0,160,56,10,drove_alone
Census Tract 81,Old Astoria,6,92,34,0,drove_alone
Census Tract 83,Old Astoria,0,127,25,0,drove_alone
Census Tract 85,Queensbridge/Ravenswood,3,57,0,89,drove_alone
Census Tract 86,Ozone Park,15,226,181,87,drove_alone
Census Tract 87,Old Astoria,75,134,55,0,drove_alone
Census Tract 88,Ozone Park,0,236,566,151,drove_alone
Census Tract 91,Old Astoria,0,266,46,0,drove_alone
Census Tract 94,South Ozone Park,52,129,166,0,drove_alone
Census Tract 95,Steinway,0,109,62,17,drove_alone
Census Tract 96,South Ozone Park,7,169,201,366,drove_alone
Census Tract 97,Steinway,0,252,83,43,drove_alone
Census Tract 98,South Ozone Park,118,176,31,88,drove_alone
Census Tract 100,South Ozone Park,51,302,400,331,drove_alone
Census Tract 101,Steinway,57,42,112,73,drove_alone
Census Tract 102,South Ozone Park,7,198,215,184,drove_alone
Census Tract 103,Steinway,99,329,93,90,drove_alone
Census Tract 104,South Ozone Park,0,217,178,156,drove_alone
Census Tract 105,Steinway,56,382,45,24,drove_alone
Census Tract 106,South Ozone Park,16,196,361,43,drove_alone
Census Tract 108,Richmond Hill,5,341,153,97,drove_alone
Census Tract 110,Richmond Hill,0,147,178,82,drove_alone
Census Tract 111,Steinway,16,166,39,0,drove_alone
Census Tract 112,Richmond Hill,30,167,174,0,drove_alone
Census Tract 113,Steinway,120,181,29,18,drove_alone
Census Tract 114,Richmond Hill,49,128,175,20,drove_alone
Census Tract 115,Steinway,36,99,41,17,drove_alone
Census Tract 116,Richmond Hill,0,95,292,82,drove_alone
Census Tract 117,Steinway,30,334,64,0,drove_alone
Census Tract 118,Richmond Hill,20,127,228,67,drove_alone
Census Tract 119,Steinway,11,103,16,8,drove_alone
Census Tract 120,Richmond Hill,77,163,68,150,drove_alone
Census Tract 121,Steinway,35,150,61,22,drove_alone
Census Tract 122,Richmond Hill,30,180,101,390,drove_alone
Census Tract 123.01,Steinway,0,139,156,0,drove_alone
Census Tract 124,Richmond Hill,58,267,99,38,drove_alone
Census Tract 125,Steinway,0,70,26,0,drove_alone
Census Tract 126.01,Richmond Hill,0,158,99,62,drove_alone
Census Tract 126.02,Richmond Hill,16,214,171,54,drove_alone
Census Tract 128,Richmond Hill,22,134,56,81,drove_alone
Census Tract 130,Richmond Hill,11,121,56,89,drove_alone
Census Tract 132,Richmond Hill,30,113,216,197,drove_alone
Census Tract 134,Kew Gardens,194,462,48,80,drove_alone
Census Tract 135,Steinway,19,98,69,50,drove_alone
Census Tract 136,Kew Gardens,7,114,157,0,drove_alone
Census Tract 137,Steinway,11,79,109,49,drove_alone
Census Tract 138,Kew Gardens,7,354,136,7,drove_alone
Census Tract 140,Kew Gardens,10,242,131,47,drove_alone
Census Tract 141,Astoria,0,42,42,14,drove_alone
Census Tract 142.01,Richmond Hill,225,333,140,415,drove_alone
Census Tract 142.02,Richmond Hill,0,163,66,37,drove_alone
Census Tract 143,Astoria,23,182,57,0,drove_alone
Census Tract 144,Richmond Hill,22,163,37,16,drove_alone
Census Tract 145,Astoria,12,131,54,17,drove_alone
Census Tract 147,Astoria,30,150,122,11,drove_alone
Census Tract 148,Richmond Hill,34,238,94,36,drove_alone
Census Tract 149,Astoria,94,21,0,0,drove_alone
Census Tract 150,Richmond Hill,10,109,301,18,drove_alone
Census Tract 151,Astoria,58,102,69,20,drove_alone
Census Tract 152,Richmond Hill,78,165,124,224,drove_alone
Census Tract 153,Astoria,5,44,37,29,drove_alone
Census Tract 154,Richmond Hill,21,117,142,58,drove_alone
Census Tract 155,Astoria,17,68,0,43,drove_alone
Census Tract 156,Richmond Hill,0,252,97,59,drove_alone
Census Tract 157,Astoria,0,47,8,0,drove_alone
Census Tract 158.01,South Ozone Park,0,187,262,253,drove_alone
Census Tract 158.02,South Ozone Park,0,248,198,356,drove_alone
Census Tract 159,Astoria,30,160,70,0,drove_alone
Census Tract 161,Astoria,8,97,53,0,drove_alone
Census Tract 163,Astoria,50,104,0,5,drove_alone
Census Tract 164,South Ozone Park,34,133,421,185,drove_alone
Census Tract 166,South Ozone Park,26,190,310,412,drove_alone
Census Tract 168,South Ozone Park,0,234,225,245,drove_alone
Census Tract 169,Sunnyside,91,411,6,0,drove_alone
Census Tract 170,South Ozone Park,14,199,269,106,drove_alone
Census Tract 172,South Ozone Park,0,184,31,189,drove_alone
Census Tract 174,South Ozone Park,7,114,525,119,drove_alone
Census Tract 176,South Ozone Park,0,87,188,106,drove_alone
Census Tract 178,South Ozone Park,44,127,234,51,drove_alone
Census Tract 179.01,Sunnyside,9,40,60,0,drove_alone
Census Tract 180,South Ozone Park,0,85,89,0,drove_alone
Census Tract 181.01,Sunnyside,29,131,0,0,drove_alone
Census Tract 181.02,Sunnyside,8,128,16,0,drove_alone
Census Tract 182,Baisley Park,0,114,268,149,drove_alone
Census Tract 183,Sunnyside,22,311,126,0,drove_alone
Census Tract 184.01,Baisley Park,9,207,61,110,drove_alone
Census Tract 184.02,Baisley Park,0,257,255,126,drove_alone
Census Tract 185.01,Sunnyside,7,253,37,0,drove_alone
Census Tract 185.02,Sunnyside,40,159,46,0,drove_alone
Census Tract 186,Baisley Park,0,131,33,197,drove_alone
Census Tract 187,Sunnyside,6,99,94,24,drove_alone
Census Tract 188,Baisley Park,0,72,79,199,drove_alone
Census Tract 189,Sunnyside,17,151,48,0,drove_alone
Census Tract 190,Baisley Park,8,128,301,205,drove_alone
Census Tract 192,Baisley Park,0,229,110,106,drove_alone
Census Tract 194,South Jamaica,25,154,177,174,drove_alone
Census Tract 196,South Jamaica,0,140,152,162,drove_alone
Census Tract 198,South Jamaica,23,248,148,59,drove_alone
Census Tract 199.01,Sunnyside,0,50,0,0,drove_alone
Census Tract 202,South Jamaica,4,55,311,71,drove_alone
Census Tract 204,Jamaica,20,250,34,0,drove_alone
Census Tract 205,Sunnyside,0,24,22,0,drove_alone
Census Tract 206,Jamaica,20,79,88,52,drove_alone
Census Tract 208,Jamaica,30,209,147,148,drove_alone
Census Tract 212,Jamaica,0,167,84,0,drove_alone
Census Tract 214,Briarwood/Jamaica Hills,0,359,96,189,drove_alone
Census Tract 216.01,Kew Gardens,11,253,79,0,drove_alone
Census Tract 216.02,Kew Gardens,0,153,57,0,drove_alone
Census Tract 220.01,Briarwood/Jamaica Hills,29,582,378,0,drove_alone
Census Tract 220.02,Briarwood/Jamaica Hills,2,653,461,55,drove_alone
Census Tract 230,Briarwood/Jamaica Hills,0,139,165,44,drove_alone
Census Tract 232,Briarwood/Jamaica Hills,9,568,273,272,drove_alone
Census Tract 235.01,Sunnyside,0,544,220,22,drove_alone
Census Tract 235.02,Sunnyside,0,141,0,0,drove_alone
Census Tract 236,Briarwood/Jamaica Hills,48,119,168,23,drove_alone
Census Tract 238,Jamaica,89,326,284,7,drove_alone
Census Tract 240,Jamaica,10,473,20,0,drove_alone
Census Tract 243,Elmhurst/Maspeth,43,186,279,243,drove_alone
Census Tract 245,Woodside,68,234,88,6,drove_alone
Census Tract 247,Woodside,40,52,64,32,drove_alone
Census Tract 249,Woodside,47,343,26,0,drove_alone
Census Tract 251,Woodside,24,251,0,20,drove_alone
Census Tract 253.01,Sunnyside,0,249,57,0,drove_alone
Census Tract 253.02,Sunnyside,18,277,41,0,drove_alone
Census Tract 254.01,South Jamaica,4,235,215,388,drove_alone
Census Tract 254.02,South Jamaica,4,367,235,44,drove_alone
Census Tract 255,Woodside,0,36,42,29,drove_alone
Census Tract 257,Woodside,41,49,85,0,drove_alone
Census Tract 258,South Jamaica,0,133,136,108,drove_alone
Census Tract 259,Woodside,0,276,49,0,drove_alone
Census Tract 260,South Jamaica,0,141,133,11,drove_alone
Census Tract 261,Woodside,108,258,54,0,drove_alone
Census Tract 262,South Jamaica,24,147,84,50,drove_alone
Census Tract 263,Woodside,0,594,74,18,drove_alone
Census Tract 264,South Jamaica,7,280,124,70,drove_alone
Census Tract 265.01,Elmhurst/Maspeth,40,111,127,140,drove_alone
Census Tract 265.02,Elmhurst/Maspeth,0,0,11,0,drove_alone
Census Tract 266,South Jamaica,0,31,109,170,drove_alone
Census Tract 267,Elmhurst,38,206,0,0,drove_alone
Census Tract 269.01,Elmhurst,23,89,0,9,drove_alone
Census Tract 269.02,Elmhurst,62,180,7,0,drove_alone
Census Tract 270,South Jamaica,4,80,231,91,drove_alone
Census Tract 271.01,Elmhurst,42,341,5,0,drove_alone
Census Tract 271.02,Elmhurst,129,215,0,0,drove_alone
Census Tract 272,Baisley Park,41,249,88,22,drove_alone
Census Tract 273.01,Jackson Heights,51,296,16,0,drove_alone
Census Tract 273.02,Jackson Heights,0,100,74,0,drove_alone
Census Tract 274,Baisley Park,6,138,296,58,drove_alone
Census Tract 275,Jackson Heights,0,214,81,189,drove_alone
Census Tract 276,Baisley Park,0,274,69,18,drove_alone
Census Tract 277.01,Jackson Heights,28,142,77,0,drove_alone
Census Tract 277.02,Jackson Heights,56,162,257,32,drove_alone
Census Tract 278,Baisley Park,0,146,68,54,drove_alone
Census Tract 279,Jackson Heights,145,273,71,147,drove_alone
Census Tract 280,Saint Albans,4,123,76,42,drove_alone
Census Tract 281,Jackson Heights,0,293,75,0,drove_alone
Census Tract 282,Saint Albans,0,110,98,78,drove_alone
Census Tract 283,Jackson Heights,109,354,0,0,drove_alone
Census Tract 284,Baisley Park,13,376,636,147,drove_alone
Census Tract 285,Jackson Heights,48,172,10,0,drove_alone
Census Tract 287,Jackson Heights,20,241,129,0,drove_alone
Census Tract 288.01,Baisley Park,0,228,80,294,drove_alone
Census Tract 288.02,Baisley Park,0,175,202,113,drove_alone
Census Tract 289,Jackson Heights,64,53,191,76,drove_alone
Census Tract 291,Jackson Heights,78,265,18,114,drove_alone
Census Tract 293,Woodside,11,71,27,0,drove_alone
Census Tract 294,Springfield Gardens North,125,365,495,824,drove_alone
Census Tract 295,Woodside,23,290,52,0,drove_alone
Census Tract 297,Woodside,30,83,125,12,drove_alone
Census Tract 306,Springfield Gardens South,26,490,446,455,drove_alone
Census Tract 309.03,Jackson Heights,44,323,216,28,drove_alone
Census Tract 309.04,Jackson Heights,20,85,116,94,drove_alone
Census Tract 309.05,Jackson Heights,25,338,126,16,drove_alone
Census Tract 309.06,Jackson Heights,5,216,347,16,drove_alone
Census Tract 317,Steinway,34,269,177,0,drove_alone
Census Tract 320,Springfield Gardens South,0,378,399,171,drove_alone
Census Tract 327,Jackson Heights,44,160,107,69,drove_alone
Census Tract 328,Laurelton,28,201,264,107,drove_alone
Census Tract 329,Jackson Heights,31,146,84,96,drove_alone
Census Tract 330,Springfield Gardens North,0,677,861,421,drove_alone
Census Tract 334.01,Saint Albans,46,254,303,341,drove_alone
Census Tract 334.03,Springfield Gardens North,0,184,49,19,drove_alone
Census Tract 334.04,Springfield Gardens North,75,728,192,0,drove_alone
Census Tract 334.05,Springfield Gardens North,0,394,0,271,drove_alone
Census Tract 337,Jackson Heights,18,114,107,41,drove_alone
Census Tract 339,Jackson Heights,0,245,52,85,drove_alone
Census Tract 347,Jackson Heights,5,204,229,5,drove_alone
Census Tract 351,Jackson Heights,0,289,16,34,drove_alone
Census Tract 352,Saint Albans,0,171,318,180,drove_alone
Census Tract 353,East Elmhurst,9,116,49,79,drove_alone
Census Tract 357,East Elmhurst,0,284,182,138,drove_alone
Census Tract 358,Laurelton,63,267,395,372,drove_alone
Census Tract 361,East Elmhurst,7,74,146,36,drove_alone
Census Tract 363,East Elmhurst,7,95,52,31,drove_alone
Census Tract 365,East Elmhurst,33,103,21,40,drove_alone
Census Tract 366,Saint Albans,38,258,247,230,drove_alone
Census Tract 367,East Elmhurst,22,135,45,71,drove_alone
Census Tract 368,Saint Albans,8,229,180,116,drove_alone
Census Tract 371,East Elmhurst,9,85,92,8,drove_alone
Census Tract 373,East Elmhurst,29,174,57,57,drove_alone
Census Tract 375.01,North Corona,32,0,20,15,drove_alone
Census Tract 375.02,North Corona,47,145,61,38,drove_alone
Census Tract 376,Saint Albans,11,340,877,392,drove_alone
Census Tract 377,North Corona,21,77,87,0,drove_alone
Census Tract 379,North Corona,26,179,48,40,drove_alone
Census Tract 381,North Corona,35,527,114,104,drove_alone
Census Tract 384,Saint Albans,0,289,183,73,drove_alone
Census Tract 394,Saint Albans,16,130,212,142,drove_alone
Census Tract 398,Saint Albans,8,67,276,157,drove_alone
Census Tract 399.01,Corona,0,21,140,0,drove_alone
Census Tract 399.02,Corona,0,9,0,40,drove_alone
Census Tract 400,Saint Albans,0,169,107,137,drove_alone
Census Tract 401.01,North Corona,27,66,14,0,drove_alone
Census Tract 401.02,North Corona,22,139,127,0,drove_alone
Census Tract 402,Saint Albans,0,45,43,288,drove_alone
Census Tract 403.01,North Corona,0,65,16,0,drove_alone
Census Tract 403.02,North Corona,26,261,137,47,drove_alone
Census Tract 404,Saint Albans,0,314,523,118,drove_alone
Census Tract 405.01,North Corona,18,0,0,0,drove_alone
Census Tract 405.02,North Corona,45,115,52,14,drove_alone
Census Tract 407.01,North Corona,0,106,96,0,drove_alone
Census Tract 407.02,North Corona,16,248,0,219,drove_alone
Census Tract 409.01,North Corona,0,3,0,0,drove_alone
Census Tract 409.02,North Corona,38,48,0,30,drove_alone
Census Tract 411,Corona,12,43,99,41,drove_alone
Census Tract 413,Corona,0,284,163,12,drove_alone
Census Tract 414,South Jamaica,29,269,309,444,drove_alone
Census Tract 415,Corona,22,268,60,43,drove_alone
Census Tract 424,Saint Albans,0,202,201,140,drove_alone
Census Tract 427,Corona,99,243,134,41,drove_alone
Census Tract 432,Saint Albans,1,58,85,221,drove_alone
Census Tract 434,South Jamaica,24,160,165,87,drove_alone
Census Tract 437.01,Corona,0,142,62,57,drove_alone
Census Tract 437.02,Corona,86,359,186,106,drove_alone
Census Tract 439,Corona,24,187,11,62,drove_alone
Census Tract 440,South Jamaica,0,305,366,117,drove_alone
Census Tract 443.01,Corona,11,194,34,9,drove_alone
Census Tract 443.02,Corona,69,132,130,68,drove_alone
Census Tract 444,Jamaica,2,357,132,103,drove_alone
Census Tract 446.01,Jamaica,52,288,158,0,drove_alone
Census Tract 446.02,Jamaica,78,214,58,0,drove_alone
Census Tract 448,Briarwood/Jamaica Hills,125,173,98,114,drove_alone
Census Tract 450,Briarwood/Jamaica Hills,0,88,134,105,drove_alone
Census Tract 452,Briarwood/Jamaica Hills,12,9,62,34,drove_alone
Census Tract 454,Briarwood/Jamaica Hills,183,555,67,172,drove_alone
Census Tract 455,Corona,416,739,103,47,drove_alone
Census Tract 456,Briarwood/Jamaica Hills,0,55,139,76,drove_alone
Census Tract 457,Elmhurst,32,158,171,7,drove_alone
Census Tract 458,Jamaica Estates,0,171,61,67,drove_alone
Census Tract 459,Elmhurst,0,153,199,115,drove_alone
Census Tract 460,Jamaica,82,353,289,0,drove_alone
Census Tract 461,Elmhurst,47,84,26,17,drove_alone
Census Tract 462,Jamaica,178,210,295,12,drove_alone
Census Tract 463,Elmhurst,0,127,5,0,drove_alone
Census Tract 464,Jamaica Estates,0,134,133,28,drove_alone
Census Tract 465,Elmhurst,53,103,37,38,drove_alone
Census Tract 466,Jamaica Estates,9,342,150,28,drove_alone
Census Tract 467,Elmhurst,34,199,135,0,drove_alone
Census Tract 468,Jamaica,13,145,163,97,drove_alone
Census Tract 469.01,Elmhurst,36,317,104,0,drove_alone
Census Tract 469.02,Elmhurst,41,72,23,52,drove_alone
Census Tract 470,Jamaica,31,174,253,72,drove_alone
