Geographic Area Name,Zone,No vehicle available,1 vehicle available,2 vehicles available,3 or more vehicles available,Transportation_type
Census Tract 151,Morrisania/Melrose,17,233,0,0,drove_alone
Census Tract 152,Schuylerville/Edgewater Park,9,214,253,71,drove_alone
Census Tract 153,Crotona Park East,12,94,67,24,drove_alone
Census Tract 155,Crotona Park East,0,204,0,0,drove_alone
Census Tract 157,Crotona Park East,48,210,139,0,drove_alone
Census Tract 158,Schuylerville/Edgewater Park,6,44,136,112,drove_alone
Census Tract 159,Hunts Point,0,96,191,0,drove_alone
Census Tract 160,Schuylerville/Edgewater Park,27,284,279,261,drove_alone
Census Tract 161,Crotona Park East,71,126,20,0,drove_alone
Census Tract 162,Schuylerville/Edgewater Park,0,95,193,47,drove_alone
Census Tract 164,Schuylerville/Edgewater Park,9,82,65,23,drove_alone
Census Tract 165,Claremont/Bathgate,43,72,0,0,drove_alone
Census Tract 166,Schuylerville/Edgewater Park,0,268,222,75,drove_alone
Census Tract 167,Claremont/Bathgate,0,227,139,37,drove_alone
Census Tract 169,Claremont/Bathgate,6,47,53,0,drove_alone
Census Tract 173,East Concourse/Concourse Village,0,110,32,0,drove_alone
Census Tract 175,East Concourse/Concourse Village,138,226,0,0,drove_alone
Census Tract 177.01,East Concourse/Concourse Village,37,122,0,0,drove_alone
Census Tract 177.02,East Concourse/Concourse Village,8,425,113,0,drove_alone
Census Tract 179.01,East Concourse/Concourse Village,71,201,6,0,drove_alone
Census Tract 179.02,East Concourse/Concourse Village,85,209,226,0,drove_alone
Census Tract 181.01,East Concourse/Concourse Village,0,187,232,0,drove_alone
Census Tract 181.02,East Concourse/Concourse Village,123,121,0,0,drove_alone
Census Tract 183.01,East Concourse/Concourse Village,41,105,45,0,drove_alone
Census Tract 183.02,East Concourse/Concourse Village,30,282,11,9,drove_alone
Census Tract 184,Schuylerville/Edgewater Park,18,262,310,406,drove_alone
Census Tract 185.01,Morrisania/Melrose,112,81,13,0,drove_alone
Census Tract 185.02,Morrisania/Melrose,115,116,70,0,drove_alone
Census Tract 189,Highbridge,132,347,153,0,drove_alone
Census Tract 193,Highbridge,0,81,0,48,drove_alone
Census Tract 194,Schuylerville/Edgewater Park,31,97,180,28,drove_alone
Census Tract 195,West Concourse,0,252,28,0,drove_alone
Census Tract 197,West Concourse,28,55,67,0,drove_alone
Census Tract 199,Highbridge,0,290,54,0,drove_alone
Census Tract 200,Van Nest/Morris Park,65,240,49,10,drove_alone
Census Tract 201,Highbridge,30,185,0,0,drove_alone
Census Tract 202,Westchester Village/Unionport,22,160,0,0,drove_alone
Census Tract 204,Westchester Village/Unionport,17,395,76,80,drove_alone
Census Tract 205.01,University Heights/Morris Heights,30,149,51,0,drove_alone
Census Tract 205.02,University Heights/Morris Heights,20,147,33,10,drove_alone
Census Tract 206.01,Westchester Village/Unionport,59,157,71,19,drove_alone
Census Tract 209,West Concourse,50,211,17,0,drove_alone
Census Tract 210.01,Parkchester,119,403,272,0,drove_alone
Census Tract 210.02,Parkchester,352,388,113,0,drove_alone
Census Tract 211,Highbridge,19,243,36,0,drove_alone
Census Tract 212,Parkchester,42,253,0,0,drove_alone
Census Tract 213.01,University Heights/Morris Heights,0,30,6,6,drove_alone
Census Tract 213.02,Highbridge,0,220,0,0,drove_alone
Census Tract 215.01,University Heights/Morris Heights,0,149,28,29,drove_alone
Census Tract 215.02,University Heights/Morris Heights,60,269,0,0,drove_alone
Census Tract 216.01,West Farms/Bronx River,22,243,75,0,drove_alone
Census Tract 216.02,Parkchester,43,264,28,0,drove_alone
Census Tract 217,University Heights/Morris Heights,85,223,9,0,drove_alone
Census Tract 218,West Farms/Bronx River,117,249,84,49,drove_alone
Census Tract 219,Highbridge,0,61,0,0,drove_alone
Census Tract 220,East Tremont,13,144,8,0,drove_alone
Census Tract 221.01,West Concourse,0,61,0,0,drove_alone
Census Tract 221.02,West Concourse,15,184,22,0,drove_alone
Census Tract 222,Parkchester,90,118,41,0,drove_alone
Census Tract 223,West Concourse,52,105,15,0,drove_alone
Census Tract 224.01,Pelham Parkway,0,226,47,0,drove_alone
Census Tract 224.03,Pelham Parkway,7,245,191,0,drove_alone
Census Tract 224.04,Pelham Parkway,77,405,98,7,drove_alone
Census Tract 225,East Concourse/Concourse Village,32,310,167,18,drove_alone
Census Tract 227.01,Mount Hope,0,87,20,38,drove_alone
Census Tract 227.02,Mount Hope,20,53,0,0,drove_alone
Census Tract 227.03,Mount Hope,4,71,0,0,drove_alone
Census Tract 228,Pelham Parkway,23,575,260,41,drove_alone
Census Tract 229.01,Mount Hope,148,138,66,7,drove_alone
Census Tract 229.02,Mount Hope,0,189,66,0,drove_alone
Census Tract 230,Van Nest/Morris Park,35,170,38,26,drove_alone
Census Tract 231,Mount Hope,16,84,67,0,drove_alone
Census Tract 232,Van Nest/Morris Park,52,115,77,5,drove_alone
Census Tract 233.01,Mount Hope,47,110,265,0,drove_alone
Census Tract 233.02,Mount Hope,4,70,25,13,drove_alone
Census Tract 235.01,Mount Hope,0,190,33,0,drove_alone
Census Tract 235.02,Mount Hope,47,62,59,55,drove_alone
Census Tract 236,Van Nest/Morris Park,0,93,24,110,drove_alone
Census Tract 237.02,Bedford Park,15,61,32,0,drove_alone
Census Tract 237.03,Fordham South,27,50,0,0,drove_alone
Census Tract 237.04,Fordham South,15,85,17,0,drove_alone
Census Tract 238,Van Nest/Morris Park,32,163,143,24,drove_alone
Census Tract 239,Fordham South,126,386,0,0,drove_alone
Census Tract 240,Van Nest/Morris Park,127,172,237,75,drove_alone
Census Tract 241,Mount Hope,65,207,135,0,drove_alone
Census Tract 243,University Heights/Morris Heights,27,164,66,0,drove_alone
Census Tract 244,Van Nest/Morris Park,8,181,108,242,drove_alone
Census Tract 245.01,University Heights/Morris Heights,45,389,55,0,drove_alone
Census Tract 245.02,University Heights/Morris Heights,53,476,67,0,drove_alone
Census Tract 246,Pelham Parkway,6,163,108,4,drove_alone
Census Tract 247,University Heights/Morris Heights,34,108,44,0,drove_alone
Census Tract 248,Pelham Parkway,0,254,94,21,drove_alone
Census Tract 250,Pelham Parkway,34,226,61,43,drove_alone
Census Tract 251,University Heights/Morris Heights,3,241,285,145,drove_alone
Census Tract 252,Van Nest/Morris Park,27,267,140,50,drove_alone
Census Tract 253,Kingsbridge Heights,16,249,22,48,drove_alone
Census Tract 254,Van Nest/Morris Park,0,104,109,88,drove_alone
Census Tract 255,Kingsbridge Heights,19,226,22,0,drove_alone
Census Tract 256,Van Nest/Morris Park,12,64,103,25,drove_alone
Census Tract 257,University Heights/Morris Heights,0,101,4,0,drove_alone
Census Tract 261,Kingsbridge Heights,9,141,0,0,drove_alone
Census Tract 263,Kingsbridge Heights,0,182,176,30,drove_alone
Census Tract 264,Schuylerville/Edgewater Park,0,892,541,243,drove_alone
Census Tract 265,Kingsbridge Heights,76,606,97,0,drove_alone
Census Tract 266.01,Pelham Bay,25,196,157,35,drove_alone
Census Tract 266.02,Pelham Bay,87,215,78,0,drove_alone
Census Tract 267.01,Van Cortlandt Village,14,93,4,0,drove_alone
Census Tract 267.02,Van Cortlandt Village,17,267,80,34,drove_alone
Census Tract 269,Kingsbridge Heights,28,298,40,0,drove_alone
Census Tract 273,Van Cortlandt Village,116,343,196,18,drove_alone
Census Tract 274.01,Country Club,13,275,596,335,drove_alone
Census Tract 274.02,Country Club,17,275,405,215,drove_alone
Census Tract 277,Van Cortlandt Village,151,182,29,0,drove_alone
Census Tract 279,Van Cortlandt Village,0,323,375,72,drove_alone
Census Tract 281,Van Cortlandt Village,34,289,81,25,drove_alone
Census Tract 283,Spuyten Duyvil/Kingsbridge,0,102,52,0,drove_alone
Census Tract 285,Spuyten Duyvil/Kingsbridge,40,396,39,250,drove_alone
Census Tract 286,Van Nest/Morris Park,17,203,40,0,drove_alone
Census Tract 287,Spuyten Duyvil/Kingsbridge,8,204,207,57,drove_alone
Census Tract 288,Pelham Parkway,31,128,327,222,drove_alone
Census Tract 289,Spuyten Duyvil/Kingsbridge,9,331,0,0,drove_alone
Census Tract 293.01,Spuyten Duyvil/Kingsbridge,0,193,86,37,drove_alone
Census Tract 293.02,Spuyten Duyvil/Kingsbridge,28,646,244,0,drove_alone
Census Tract 295,Spuyten Duyvil/Kingsbridge,56,438,36,60,drove_alone
Census Tract 296,Pelham Parkway,16,79,23,66,drove_alone
Census Tract 297,Spuyten Duyvil/Kingsbridge,11,245,137,43,drove_alone
Census Tract 300,Pelham Bay,11,588,474,133,drove_alone
Census Tract 301,Spuyten Duyvil/Kingsbridge,15,134,10,12,drove_alone
Census Tract 302.01,Co-Op City,92,208,156,0,drove_alone
Census Tract 302.02,Co-Op City,0,550,415,112,drove_alone
Census Tract 307.01,Riverdale/North Riverdale/Fieldston,69,326,523,122,drove_alone
Census Tract 309,Riverdale/North Riverdale/Fieldston,42,291,160,28,drove_alone
Census Tract 310,Allerton/Pelham Gardens,0,354,292,571,drove_alone
Census Tract 312,Allerton/Pelham Gardens,0,169,167,57,drove_alone
Census Tract 314,Allerton/Pelham Gardens,34,179,107,120,drove_alone
Census Tract 316,Allerton/Pelham Gardens,0,159,181,54,drove_alone
Census Tract 318,Allerton/Pelham Gardens,0,122,177,142,drove_alone
Census Tract 323,Riverdale/North Riverdale/Fieldston,0,314,195,32,drove_alone
Census Tract 324,Bronxdale,125,107,171,70,drove_alone
Census Tract 326,Allerton/Pelham Gardens,0,417,158,94,drove_alone
Census Tract 328,Bronxdale,11,163,96,47,drove_alone
Census Tract 330,Bronxdale,122,285,0,0,drove_alone
Census Tract 332.01,Bronxdale,29,234,102,0,drove_alone
Census Tract 332.02,Bronxdale,26,242,50,40,drove_alone
