Geographic Area Name,Zone,"Earnings $1 to $9,999 or loss","Earnings $10,000 to $14,999","Earnings $15,000 to $24,999","Earnings $25,000 to $34,999","Earnings!!$35,000 to $49,999","Earnings $50,000 to $64,999","earnings $65,000 to $74,999","earnings $75,000 or more",Transportation_type
Census Tract 59,Astoria,0,0,0,26,78,68,25,98,drove_alone
Census Tract 61,Astoria,0,2,67,21,6,49,49,27,drove_alone
Census Tract 62.01,Howard Beach,59,16,113,152,113,148,73,559,drove_alone
Census Tract 62.02,Howard Beach,193,0,120,199,92,177,234,447,drove_alone
Census Tract 63,Astoria,0,0,0,7,77,42,15,272,drove_alone
Census Tract 65.01,Astoria,0,0,9,62,129,29,0,71,drove_alone
Census Tract 65.02,Astoria,10,0,0,9,44,148,20,70,drove_alone
Census Tract 69,Old Astoria,0,0,17,15,29,37,13,113,drove_alone
Census Tract 71,Old Astoria,0,0,0,8,0,42,18,64,drove_alone
Census Tract 73,Old Astoria,0,0,0,13,53,66,16,83,drove_alone
Census Tract 75,Astoria,35,0,0,0,0,33,0,207,drove_alone
Census Tract 77,Astoria,0,0,6,17,7,12,19,60,drove_alone
Census Tract 79,Old Astoria,0,0,0,47,37,34,9,99,drove_alone
Census Tract 81,Old Astoria,6,6,0,0,56,0,0,64,drove_alone
Census Tract 83,Old Astoria,0,0,21,9,18,28,16,60,drove_alone
Census Tract 85,Queensbridge/Ravenswood,0,0,79,63,0,0,0,7,drove_alone
Census Tract 86,Ozone Park,59,8,52,48,65,110,53,114,drove_alone
Census Tract 87,Old Astoria,0,49,0,42,31,48,50,44,drove_alone
Census Tract 88,Ozone Park,95,18,164,14,153,60,41,408,drove_alone
Census Tract 91,Old Astoria,0,0,10,16,0,120,33,133,drove_alone
Census Tract 94,South Ozone Park,27,7,37,23,36,95,44,78,drove_alone
Census Tract 95,Steinway,10,0,26,11,9,0,37,95,drove_alone
Census Tract 96,South Ozone Park,34,0,40,78,146,140,24,281,drove_alone
Census Tract 97,Steinway,29,0,47,0,43,134,11,114,drove_alone
Census Tract 98,South Ozone Park,0,18,158,29,31,54,31,92,drove_alone
Census Tract 100,South Ozone Park,193,83,78,154,128,103,8,337,drove_alone
Census Tract 101,Steinway,37,9,17,33,67,95,0,26,drove_alone
Census Tract 102,South Ozone Park,44,55,38,132,78,62,17,178,drove_alone
Census Tract 103,Steinway,32,30,33,139,55,157,65,100,drove_alone
Census Tract 104,South Ozone Park,20,20,55,81,59,153,86,77,drove_alone
Census Tract 105,Steinway,42,20,73,20,107,7,14,224,drove_alone
Census Tract 106,South Ozone Park,24,11,45,116,115,135,30,140,drove_alone
Census Tract 108,Richmond Hill,49,41,96,58,103,78,73,98,drove_alone
Census Tract 110,Richmond Hill,22,34,17,75,74,75,27,83,drove_alone
Census Tract 111,Steinway,9,0,0,40,74,24,46,28,drove_alone
Census Tract 112,Richmond Hill,29,27,25,39,53,46,37,115,drove_alone
Census Tract 113,Steinway,8,34,20,35,97,29,48,77,drove_alone
Census Tract 114,Richmond Hill,21,24,78,58,33,81,27,50,drove_alone
Census Tract 115,Steinway,12,14,24,8,24,15,36,60,drove_alone
Census Tract 116,Richmond Hill,29,34,143,21,53,59,14,116,drove_alone
Census Tract 117,Steinway,28,34,71,8,20,86,43,138,drove_alone
Census Tract 118,Richmond Hill,1,37,111,93,131,13,23,33,drove_alone
Census Tract 119,Steinway,5,16,19,9,26,21,0,42,drove_alone
Census Tract 120,Richmond Hill,0,30,150,13,116,45,53,51,drove_alone
Census Tract 121,Steinway,0,0,0,27,0,19,51,171,drove_alone
Census Tract 122,Richmond Hill,24,17,35,142,124,200,26,133,drove_alone
Census Tract 123.01,Steinway,10,0,10,49,52,7,8,159,drove_alone
Census Tract 124,Richmond Hill,36,9,116,42,58,54,74,73,drove_alone
Census Tract 125,Steinway,0,0,12,7,10,4,34,29,drove_alone
Census Tract 126.01,Richmond Hill,8,7,67,31,18,45,25,118,drove_alone
Census Tract 126.02,Richmond Hill,8,21,0,182,59,119,42,24,drove_alone
Census Tract 128,Richmond Hill,0,14,49,31,47,69,12,71,drove_alone
Census Tract 130,Richmond Hill,0,0,16,69,21,40,17,114,drove_alone
Census Tract 132,Richmond Hill,13,29,0,43,58,78,16,319,drove_alone
Census Tract 134,Kew Gardens,15,16,71,94,97,76,17,398,drove_alone
Census Tract 135,Steinway,21,6,5,14,5,12,18,155,drove_alone
Census Tract 136,Kew Gardens,0,0,27,0,12,53,9,177,drove_alone
Census Tract 137,Steinway,16,15,14,38,35,39,11,80,drove_alone
Census Tract 138,Kew Gardens,33,20,64,11,47,111,66,152,drove_alone
Census Tract 140,Kew Gardens,28,10,53,38,65,53,14,169,drove_alone
Census Tract 141,Astoria,0,0,16,17,0,0,0,65,drove_alone
Census Tract 142.01,Richmond Hill,11,47,408,289,99,112,49,97,drove_alone
Census Tract 142.02,Richmond Hill,17,40,14,36,69,32,0,58,drove_alone
Census Tract 143,Astoria,0,19,57,8,57,23,38,60,drove_alone
Census Tract 144,Richmond Hill,41,0,15,29,40,57,12,44,drove_alone
Census Tract 145,Astoria,11,6,5,38,23,56,32,43,drove_alone
Census Tract 147,Astoria,0,45,18,44,33,70,20,83,drove_alone
Census Tract 148,Richmond Hill,24,0,26,225,54,0,25,48,drove_alone
Census Tract 149,Astoria,0,0,64,15,19,0,0,17,drove_alone
Census Tract 150,Richmond Hill,16,9,86,47,48,102,47,83,drove_alone
Census Tract 151,Astoria,8,21,20,22,29,78,31,40,drove_alone
Census Tract 152,Richmond Hill,1,17,52,99,122,117,66,117,drove_alone
Census Tract 153,Astoria,0,5,0,15,18,38,5,34,drove_alone
Census Tract 154,Richmond Hill,19,20,77,44,77,0,62,39,drove_alone
Census Tract 155,Astoria,5,11,17,10,32,26,4,23,drove_alone
Census Tract 156,Richmond Hill,11,61,28,36,123,73,60,16,drove_alone
Census Tract 157,Astoria,0,0,0,4,4,33,5,9,drove_alone
Census Tract 158.01,South Ozone Park,103,79,16,50,129,121,17,187,drove_alone
Census Tract 158.02,South Ozone Park,45,0,55,73,188,236,74,131,drove_alone
Census Tract 159,Astoria,0,29,60,10,36,22,69,34,drove_alone
Census Tract 161,Astoria,12,17,24,32,15,6,0,52,drove_alone
Census Tract 163,Astoria,0,13,55,17,5,20,0,49,drove_alone
Census Tract 164,South Ozone Park,12,57,59,75,78,81,0,411,drove_alone
Census Tract 166,South Ozone Park,56,13,123,22,294,358,0,72,drove_alone
Census Tract 168,South Ozone Park,48,68,25,87,174,88,30,184,drove_alone
Census Tract 169,Sunnyside,50,0,64,48,16,117,0,213,drove_alone
Census Tract 170,South Ozone Park,20,17,47,54,120,160,24,146,drove_alone
Census Tract 172,South Ozone Park,48,0,60,19,96,22,24,135,drove_alone
Census Tract 174,South Ozone Park,28,10,105,122,115,185,33,167,drove_alone
Census Tract 176,South Ozone Park,19,17,36,123,44,39,24,79,drove_alone
Census Tract 178,South Ozone Park,0,20,34,95,100,89,0,118,drove_alone
Census Tract 179.01,Sunnyside,24,6,0,16,23,0,0,40,drove_alone
Census Tract 180,South Ozone Park,35,0,28,0,46,20,0,45,drove_alone
Census Tract 181.01,Sunnyside,7,0,8,0,56,37,31,21,drove_alone
Census Tract 181.02,Sunnyside,0,0,0,41,11,0,27,73,drove_alone
Census Tract 182,Baisley Park,40,2,147,59,149,39,59,36,drove_alone
Census Tract 183,Sunnyside,0,11,12,143,40,45,17,191,drove_alone
Census Tract 184.01,Baisley Park,7,21,62,66,81,61,8,81,drove_alone
Census Tract 184.02,Baisley Park,13,46,90,89,145,92,28,135,drove_alone
Census Tract 185.01,Sunnyside,0,12,9,19,71,29,33,124,drove_alone
Census Tract 185.02,Sunnyside,7,0,0,6,132,7,17,76,drove_alone
Census Tract 186,Baisley Park,50,26,52,67,69,16,42,39,drove_alone
Census Tract 187,Sunnyside,14,0,25,50,60,0,0,74,drove_alone
Census Tract 188,Baisley Park,46,26,68,66,36,63,8,37,drove_alone
Census Tract 189,Sunnyside,0,0,55,30,24,62,0,45,drove_alone
Census Tract 190,Baisley Park,40,37,46,100,73,99,109,138,drove_alone
Census Tract 192,Baisley Park,16,7,62,77,100,99,6,78,drove_alone
Census Tract 194,South Jamaica,57,15,73,78,101,72,26,108,drove_alone
Census Tract 196,South Jamaica,48,16,70,38,101,68,0,113,drove_alone
Census Tract 198,South Jamaica,30,15,31,88,58,76,19,161,drove_alone
Census Tract 199.01,Sunnyside,0,0,10,10,5,15,0,10,drove_alone
Census Tract 202,South Jamaica,47,48,20,41,102,119,0,64,drove_alone
Census Tract 204,Jamaica,43,17,27,31,90,58,13,25,drove_alone
Census Tract 205,Sunnyside,22,0,0,0,7,0,8,9,drove_alone
Census Tract 206,Jamaica,0,20,51,54,44,11,51,8,drove_alone
Census Tract 208,Jamaica,22,69,17,44,83,93,0,206,drove_alone
Census Tract 212,Jamaica,35,26,38,55,43,9,27,18,drove_alone
Census Tract 214,Briarwood/Jamaica Hills,148,56,71,99,66,74,74,56,drove_alone
Census Tract 216.01,Kew Gardens,8,10,17,18,30,20,22,218,drove_alone
Census Tract 216.02,Kew Gardens,9,56,51,0,51,3,3,37,drove_alone
Census Tract 220.01,Briarwood/Jamaica Hills,14,38,64,120,150,108,113,382,drove_alone
Census Tract 220.02,Briarwood/Jamaica Hills,44,0,178,81,191,207,36,434,drove_alone
Census Tract 230,Briarwood/Jamaica Hills,48,7,36,36,36,102,6,77,drove_alone
Census Tract 232,Briarwood/Jamaica Hills,81,25,94,186,153,156,99,328,drove_alone
Census Tract 235.01,Sunnyside,14,0,33,93,331,198,15,102,drove_alone
Census Tract 235.02,Sunnyside,0,0,0,0,141,0,0,0,drove_alone
Census Tract 236,Briarwood/Jamaica Hills,28,6,4,74,87,74,19,66,drove_alone
Census Tract 238,Jamaica,35,61,143,139,53,126,86,63,drove_alone
Census Tract 240,Jamaica,21,0,9,66,153,119,19,116,drove_alone
Census Tract 243,Elmhurst/Maspeth,49,17,53,67,285,99,9,172,drove_alone
Census Tract 245,Woodside,29,25,51,37,42,77,48,87,drove_alone
Census Tract 247,Woodside,0,25,36,38,32,24,5,28,drove_alone
Census Tract 249,Woodside,1,11,81,84,49,56,100,34,drove_alone
Census Tract 251,Woodside,0,0,0,0,45,33,74,143,drove_alone
Census Tract 253.01,Sunnyside,0,0,84,58,73,9,27,55,drove_alone
Census Tract 253.02,Sunnyside,0,9,8,117,72,20,8,102,drove_alone
Census Tract 254.01,South Jamaica,0,0,47,230,136,293,54,82,drove_alone
Census Tract 254.02,South Jamaica,96,54,219,105,73,44,0,59,drove_alone
Census Tract 255,Woodside,0,0,0,17,27,43,0,20,drove_alone
Census Tract 257,Woodside,0,13,14,19,41,25,40,23,drove_alone
Census Tract 258,South Jamaica,21,0,103,49,65,29,30,80,drove_alone
Census Tract 259,Woodside,0,9,8,43,174,21,40,30,drove_alone
Census Tract 260,South Jamaica,10,10,39,29,68,36,61,32,drove_alone
Census Tract 261,Woodside,16,13,0,45,286,25,33,2,drove_alone
Census Tract 262,South Jamaica,18,6,29,27,70,38,9,108,drove_alone
Census Tract 263,Woodside,21,0,38,0,96,48,62,421,drove_alone
Census Tract 264,South Jamaica,24,7,43,96,67,40,35,169,drove_alone
Census Tract 265.01,Elmhurst/Maspeth,9,0,22,43,140,61,134,9,drove_alone
Census Tract 265.02,Elmhurst/Maspeth,0,0,0,0,0,0,11,0,drove_alone
Census Tract 266,South Jamaica,48,9,25,35,130,33,0,30,drove_alone
Census Tract 267,Elmhurst,14,14,0,97,0,56,15,48,drove_alone
Census Tract 269.01,Elmhurst,23,0,0,0,89,0,9,0,drove_alone
Census Tract 269.02,Elmhurst,18,0,23,107,57,20,4,20,drove_alone
Census Tract 270,South Jamaica,18,8,73,62,51,17,71,106,drove_alone
Census Tract 271.01,Elmhurst,0,6,20,23,28,160,135,16,drove_alone
Census Tract 271.02,Elmhurst,0,0,75,149,0,36,40,44,drove_alone
Census Tract 272,Baisley Park,0,31,65,59,140,28,17,60,drove_alone
Census Tract 273.01,Jackson Heights,51,26,10,106,138,0,0,32,drove_alone
Census Tract 273.02,Jackson Heights,0,0,16,0,60,13,85,0,drove_alone
Census Tract 274,Baisley Park,97,33,20,119,49,81,42,57,drove_alone
Census Tract 275,Jackson Heights,56,0,22,126,140,76,5,59,drove_alone
Census Tract 276,Baisley Park,66,45,48,22,29,46,13,92,drove_alone
Census Tract 277.01,Jackson Heights,36,0,0,29,41,47,41,53,drove_alone
Census Tract 277.02,Jackson Heights,0,0,70,14,77,113,66,167,drove_alone
Census Tract 278,Baisley Park,0,0,39,16,86,73,0,54,drove_alone
Census Tract 279,Jackson Heights,71,0,28,177,79,91,121,69,drove_alone
Census Tract 280,Saint Albans,4,9,13,74,44,31,9,61,drove_alone
Census Tract 281,Jackson Heights,18,53,0,67,0,0,0,230,drove_alone
Census Tract 282,Saint Albans,0,21,60,36,47,18,26,78,drove_alone
Census Tract 283,Jackson Heights,29,0,0,139,65,103,37,90,drove_alone
Census Tract 284,Baisley Park,57,0,104,263,231,198,128,190,drove_alone
Census Tract 285,Jackson Heights,0,12,0,0,71,69,0,78,drove_alone
Census Tract 287,Jackson Heights,0,12,0,56,195,0,0,127,drove_alone
Census Tract 288.01,Baisley Park,0,13,0,96,174,184,63,72,drove_alone
Census Tract 288.02,Baisley Park,23,0,65,113,59,52,0,178,drove_alone
Census Tract 289,Jackson Heights,15,122,0,53,90,64,0,40,drove_alone
Census Tract 291,Jackson Heights,0,7,73,77,207,61,0,50,drove_alone
Census Tract 293,Woodside,10,6,9,19,31,1,0,33,drove_alone
Census Tract 294,Springfield Gardens North,105,79,34,401,423,209,137,415,drove_alone
Census Tract 295,Woodside,16,24,0,62,16,71,98,78,drove_alone
Census Tract 297,Woodside,0,10,3,61,58,58,4,56,drove_alone
Census Tract 306,Springfield Gardens South,44,21,125,145,181,322,228,351,drove_alone
Census Tract 309.03,Jackson Heights,0,30,40,124,94,179,7,137,drove_alone
Census Tract 309.04,Jackson Heights,16,19,98,22,29,29,0,102,drove_alone
Census Tract 309.05,Jackson Heights,25,0,46,0,158,29,8,239,drove_alone
Census Tract 309.06,Jackson Heights,21,28,42,208,163,56,0,66,drove_alone
Census Tract 317,Steinway,16,63,3,42,66,95,13,182,drove_alone
Census Tract 320,Springfield Gardens South,74,51,176,134,106,124,141,142,drove_alone
Census Tract 327,Jackson Heights,39,54,0,119,39,58,12,59,drove_alone
Census Tract 328,Laurelton,10,20,57,64,110,123,26,190,drove_alone
Census Tract 329,Jackson Heights,25,3,54,31,127,47,24,46,drove_alone
Census Tract 330,Springfield Gardens North,162,22,133,278,297,467,231,370,drove_alone
Census Tract 334.01,Saint Albans,63,13,102,145,140,131,75,275,drove_alone
Census Tract 334.03,Springfield Gardens North,19,0,0,19,0,62,52,100,drove_alone
Census Tract 334.04,Springfield Gardens North,203,0,222,0,112,156,236,66,drove_alone
Census Tract 334.05,Springfield Gardens North,0,97,81,160,100,0,0,227,drove_alone
Census Tract 337,Jackson Heights,46,21,26,24,76,30,20,37,drove_alone
Census Tract 339,Jackson Heights,28,0,39,0,53,38,13,211,drove_alone
Census Tract 347,Jackson Heights,13,7,88,70,111,44,0,110,drove_alone
Census Tract 351,Jackson Heights,33,0,52,46,69,64,10,65,drove_alone
Census Tract 352,Saint Albans,20,29,73,85,152,64,33,213,drove_alone
Census Tract 353,East Elmhurst,0,33,26,114,15,31,18,16,drove_alone
Census Tract 357,East Elmhurst,104,15,76,52,82,76,21,178,drove_alone
Census Tract 358,Laurelton,81,48,113,118,210,144,47,336,drove_alone
Census Tract 361,East Elmhurst,5,11,49,64,43,15,24,52,drove_alone
Census Tract 363,East Elmhurst,15,0,34,35,20,26,16,39,drove_alone
Census Tract 365,East Elmhurst,51,0,64,17,12,32,9,12,drove_alone
Census Tract 366,Saint Albans,63,14,20,103,247,128,52,146,drove_alone
Census Tract 367,East Elmhurst,32,6,34,27,90,50,8,26,drove_alone
Census Tract 368,Saint Albans,14,0,19,125,123,36,45,171,drove_alone
Census Tract 371,East Elmhurst,36,6,25,4,35,35,13,40,drove_alone
Census Tract 373,East Elmhurst,41,28,21,35,99,27,8,58,drove_alone
Census Tract 375.01,North Corona,0,0,0,0,52,15,0,0,drove_alone
Census Tract 375.02,North Corona,20,6,0,58,58,102,18,29,drove_alone
Census Tract 376,Saint Albans,148,26,47,165,311,366,57,503,drove_alone
Census Tract 377,North Corona,13,18,13,30,57,17,14,23,drove_alone
Census Tract 379,North Corona,0,0,0,117,87,27,0,62,drove_alone
Census Tract 381,North Corona,54,38,44,248,197,63,0,136,drove_alone
Census Tract 384,Saint Albans,38,17,55,41,84,98,49,163,drove_alone
Census Tract 394,Saint Albans,26,0,64,63,76,101,13,157,drove_alone
Census Tract 398,Saint Albans,12,11,74,35,132,41,32,171,drove_alone
Census Tract 399.01,Corona,0,17,0,21,86,37,0,0,drove_alone
Census Tract 399.02,Corona,0,0,19,0,9,0,0,21,drove_alone
Census Tract 400,Saint Albans,31,0,19,26,55,49,117,116,drove_alone
Census Tract 401.01,North Corona,0,0,0,58,0,22,0,27,drove_alone
Census Tract 401.02,North Corona,22,52,22,95,56,14,0,27,drove_alone
Census Tract 402,Saint Albans,43,0,20,19,55,80,82,77,drove_alone
Census Tract 403.01,North Corona,0,16,36,0,0,0,29,0,drove_alone
Census Tract 403.02,North Corona,10,25,90,95,47,84,31,89,drove_alone
Census Tract 404,Saint Albans,102,0,135,96,170,173,68,211,drove_alone
Census Tract 405.01,North Corona,0,0,0,18,0,0,0,0,drove_alone
Census Tract 405.02,North Corona,19,6,4,67,29,91,0,10,drove_alone
Census Tract 407.01,North Corona,0,0,0,0,125,27,50,0,drove_alone
Census Tract 407.02,North Corona,37,16,0,239,0,58,55,78,drove_alone
Census Tract 409.01,North Corona,0,0,3,0,0,0,0,0,drove_alone
Census Tract 409.02,North Corona,0,0,16,11,15,48,0,26,drove_alone
Census Tract 411,Corona,5,0,22,41,25,19,49,34,drove_alone
Census Tract 413,Corona,40,14,56,164,43,84,0,58,drove_alone
Census Tract 414,South Jamaica,94,24,76,79,292,145,0,341,drove_alone
Census Tract 415,Corona,44,56,15,0,142,90,18,28,drove_alone
Census Tract 424,Saint Albans,7,14,31,98,100,39,22,232,drove_alone
Census Tract 427,Corona,42,37,111,53,132,0,0,142,drove_alone
Census Tract 432,Saint Albans,10,10,28,77,54,95,12,79,drove_alone
Census Tract 434,South Jamaica,5,21,23,47,117,37,41,145,drove_alone
Census Tract 437.01,Corona,57,0,29,0,51,64,33,27,drove_alone
Census Tract 437.02,Corona,142,0,63,86,59,214,39,134,drove_alone
Census Tract 439,Corona,15,10,44,13,125,24,11,42,drove_alone
Census Tract 440,South Jamaica,186,0,29,88,98,58,70,259,drove_alone
Census Tract 443.01,Corona,32,28,7,31,36,21,0,93,drove_alone
Census Tract 443.02,Corona,0,0,16,101,94,66,53,69,drove_alone
Census Tract 444,Jamaica,76,25,22,38,164,48,12,209,drove_alone
Census Tract 446.01,Jamaica,47,16,112,186,67,45,14,11,drove_alone
Census Tract 446.02,Jamaica,39,17,91,49,81,30,10,33,drove_alone
Census Tract 448,Briarwood/Jamaica Hills,5,1,154,54,45,147,12,92,drove_alone
Census Tract 450,Briarwood/Jamaica Hills,51,0,24,44,99,24,40,45,drove_alone
Census Tract 452,Briarwood/Jamaica Hills,0,8,32,19,30,8,6,14,drove_alone
Census Tract 454,Briarwood/Jamaica Hills,59,65,169,104,188,228,0,164,drove_alone
Census Tract 455,Corona,0,108,224,108,294,168,73,330,drove_alone
Census Tract 456,Briarwood/Jamaica Hills,10,21,19,72,43,32,31,42,drove_alone
Census Tract 457,Elmhurst,23,28,67,35,67,61,30,57,drove_alone
Census Tract 458,Jamaica Estates,4,17,38,29,48,47,48,68,drove_alone
Census Tract 459,Elmhurst,29,0,46,80,90,73,63,86,drove_alone
Census Tract 460,Jamaica,43,59,144,44,156,82,66,130,drove_alone
Census Tract 461,Elmhurst,0,13,60,17,53,5,0,26,drove_alone
Census Tract 462,Jamaica,41,73,179,0,146,113,21,122,drove_alone
Census Tract 463,Elmhurst,36,0,28,0,23,13,32,0,drove_alone
Census Tract 464,Jamaica Estates,30,15,11,8,45,12,42,132,drove_alone
Census Tract 465,Elmhurst,53,0,15,49,22,26,34,32,drove_alone
Census Tract 466,Jamaica Estates,40,55,83,96,68,120,10,57,drove_alone
Census Tract 467,Elmhurst,15,43,17,110,48,102,9,24,drove_alone
Census Tract 468,Jamaica,15,0,5,89,85,35,19,170,drove_alone
Census Tract 469.01,Elmhurst,1,0,125,116,68,65,0,82,drove_alone
Census Tract 469.02,Elmhurst,15,16,22,40,66,14,15,0,drove_alone
Census Tract 470,Jamaica,85,15,23,58,130,118,28,73,drove_alone
Census Tract 471,Elmhurst,0,173,36,85,12,60,0,40,drove_alone
Census Tract 472,Jamaica Estates,5,0,34,33,89,63,18,288,drove_alone
Census Tract 473,Elmhurst,32,0,60,114,44,52,0,35,drove_alone
Census Tract 475,Elmhurst,18,27,39,107,151,124,37,89,drove_alone
Census Tract 476,Jamaica Estates,0,30,12,15,55,77,12,178,drove_alone
Census Tract 478.01,Jamaica Estates,5,37,0,43,94,34,87,392,drove_alone
Census Tract 478.02,Jamaica Estates,29,0,0,0,15,58,54,25,drove_alone
Census Tract 479,Elmhurst/Maspeth,34,58,41,128,232,24,43,80,drove_alone
Census Tract 480,Jamaica,23,18,96,56,151,47,13,141,drove_alone
Census Tract 481,Elmhurst,10,0,66,68,100,62,13,14,drove_alone
Census Tract 482,Hollis,0,22,87,19,47,96,14,59,drove_alone
Census Tract 483.01,Elmhurst/Maspeth,7,0,0,12,70,17,56,90,drove_alone
Census Tract 483.02,Elmhurst/Maspeth,0,33,22,52,144,41,49,33,drove_alone
Census Tract 484,Hollis,1,14,218,229,308,226,79,197,drove_alone
Census Tract 485,Elmhurst/Maspeth,7,3,31,262,30,104,0,124,drove_alone
Census Tract 489,Elmhurst/Maspeth,9,5,14,18,47,62,25,6,drove_alone
Census Tract 492.01,Jamaica Estates,29,45,86,64,242,246,46,80,drove_alone
Census Tract 492.02,Jamaica Estates,48,29,61,53,140,94,46,111,drove_alone
Census Tract 493.01,Maspeth,41,2,66,28,19,75,43,102,drove_alone
Census Tract 493.02,Maspeth,26,31,46,24,56,46,38,99,drove_alone
Census Tract 495,Maspeth,0,0,24,48,24,6,0,144,drove_alone
Census Tract 496,Queens Village,49,18,27,136,303,119,23,167,drove_alone
Census Tract 497,Maspeth,0,15,18,104,37,32,5,135,drove_alone
Census Tract 499,Elmhurst,25,41,80,71,90,131,78,164,drove_alone
Census Tract 500,Hollis,5,25,140,220,292,149,20,121,drove_alone
Census Tract 502.01,Hollis,16,12,66,35,156,42,21,46,drove_alone
Census Tract 502.02,Hollis,14,16,35,3,41,48,15,63,drove_alone
Census Tract 504,Hollis,12,18,64,23,30,80,90,157,drove_alone
Census Tract 505,Middle Village,4,7,45,35,74,5,0,134,drove_alone
Census Tract 506,Hollis,24,3,58,41,78,28,18,93,drove_alone
Census Tract 507,Middle Village,0,87,73,121,42,220,14,248,drove_alone
Census Tract 508,Hollis,23,5,76,30,46,18,15,117,drove_alone
Census Tract 510,Hollis,13,0,35,36,0,9,12,157,drove_alone
Census Tract 511,Maspeth,34,0,32,44,88,143,71,247,drove_alone
Census Tract 512,Queens Village,23,31,38,101,100,152,121,98,drove_alone
Census Tract 513,Maspeth,0,23,33,19,88,88,12,241,drove_alone
Census Tract 515,Maspeth,110,0,77,9,125,80,117,355,drove_alone
Census Tract 516,Queens Village,72,0,12,57,140,10,50,126,drove_alone
Census Tract 517,Maspeth,14,14,19,83,19,157,36,143,drove_alone
Census Tract 518,Saint Albans,26,12,98,103,145,208,36,81,drove_alone
Census Tract 520,Saint Albans,0,36,79,32,15,54,52,35,drove_alone
Census Tract 521,Maspeth,0,0,15,86,61,54,14,152,drove_alone
Census Tract 522,Saint Albans,16,7,25,38,95,74,20,73,drove_alone
Census Tract 524,Saint Albans,20,9,23,61,162,120,24,91,drove_alone
Census Tract 525,Maspeth,19,0,83,81,136,112,57,170,drove_alone
Census Tract 526,Saint Albans,21,48,72,43,133,127,59,98,drove_alone
Census Tract 528,Saint Albans,14,33,8,71,53,49,15,146,drove_alone
Census Tract 530,Saint Albans,64,40,19,96,98,51,69,84,drove_alone
Census Tract 531,Maspeth,39,35,110,38,21,188,68,217,drove_alone
Census Tract 532,Queens Village,21,0,17,35,160,68,0,130,drove_alone
Census Tract 534.01,Cambria Heights,15,9,8,39,113,63,4,106,drove_alone
Census Tract 535.01,Maspeth,0,0,18,11,59,15,21,32,drove_alone
Census Tract 536.01,Queens Village,8,0,24,53,65,99,50,97,drove_alone
Census Tract 538,Queens Village,25,0,52,30,60,35,45,98,drove_alone
Census Tract 539.01,Ridgewood,20,0,58,48,76,41,0,160,drove_alone
Census Tract 539.02,Ridgewood,0,0,0,0,17,0,0,26,drove_alone
Census Tract 540,Queens Village,0,16,135,102,53,93,149,299,drove_alone
Census Tract 542,Queens Village,27,78,255,100,196,199,73,354,drove_alone
Census Tract 545,Ridgewood,36,23,115,41,58,12,0,69,drove_alone
Census Tract 547,Ridgewood,32,6,122,78,64,19,35,249,drove_alone
Census Tract 548,Queens Village,28,51,104,43,117,24,28,190,drove_alone
Census Tract 549,Ridgewood,9,0,32,58,139,22,12,258,drove_alone
Census Tract 551,Ridgewood,34,0,66,0,23,69,28,91,drove_alone
Census Tract 552,Queens Village,19,0,149,83,104,68,12,143,drove_alone
Census Tract 553,Ridgewood,0,6,5,67,10,24,41,204,drove_alone
Census Tract 554,Queens Village,19,42,52,41,176,66,96,67,drove_alone
Census Tract 555,Ridgewood,9,13,32,30,21,28,0,29,drove_alone
Census Tract 556,Queens Village,32,7,51,154,83,91,26,165,drove_alone
Census Tract 557,Ridgewood,12,14,25,75,28,90,17,147,drove_alone
Census Tract 558,Queens Village,83,44,92,112,106,5,38,109,drove_alone
Census Tract 559,Ridgewood,0,0,0,0,49,4,0,38,drove_alone
Census Tract 560,Queens Village,12,34,81,24,64,7,44,99,drove_alone
Census Tract 561,Forest Park/Highland Park,0,0,0,0,0,0,0,4,drove_alone
Census Tract 562,Queens Village,0,16,32,25,65,76,15,72,drove_alone
Census Tract 564,Queens Village,0,0,17,32,41,24,6,92,drove_alone
Census Tract 565,Glendale,33,8,48,24,50,121,9,63,drove_alone
Census Tract 566,Queens Village,0,6,44,18,21,47,31,53,drove_alone
Census Tract 567,Glendale,12,27,81,108,307,225,55,424,drove_alone
Census Tract 568,Queens Village,20,71,96,221,226,123,80,427,drove_alone
Census Tract 577,Glendale,0,0,10,226,22,52,45,407,drove_alone
Census Tract 579,Glendale,3,15,6,62,45,40,0,23,drove_alone
Census Tract 580,Queens Village,52,62,106,241,384,105,70,130,drove_alone
Census Tract 581,Ridgewood,14,0,45,12,140,43,0,81,drove_alone
Census Tract 582,Queens Village,165,66,51,142,573,136,61,266,drove_alone
Census Tract 583,Ridgewood,0,0,19,20,25,113,19,96,drove_alone
Census Tract 585,Ridgewood,8,0,182,37,72,82,44,134,drove_alone
Census Tract 587,Ridgewood,43,1,16,47,39,34,16,149,drove_alone
Census Tract 589,Ridgewood,0,11,11,35,50,67,22,98,drove_alone
Census Tract 590,Cambria Heights,22,14,36,15,21,23,28,154,drove_alone
Census Tract 591,Ridgewood,69,100,78,22,149,176,61,197,drove_alone
Census Tract 592,Cambria Heights,19,5,115,9,22,31,45,148,drove_alone
Census Tract 593,Ridgewood,29,0,96,43,50,91,79,132,drove_alone
Census Tract 594,Cambria Heights,4,13,27,43,80,124,57,113,drove_alone
Census Tract 595.01,Ridgewood,19,0,36,0,31,19,44,44,drove_alone
Census Tract 595.02,Ridgewood,25,0,232,209,12,25,63,19,drove_alone
