Geographic Area Name,Zone,"Earnings $1 to $9,999 or loss","Earnings $10,000 to $14,999","Earnings $15,000 to $24,999","Earnings $25,000 to $34,999","Earnings!!$35,000 to $49,999","Earnings $50,000 to $64,999","earnings $65,000 to $74,999","earnings $75,000 or more",Transportation_type
Census Tract 160,Schuylerville/Edgewater Park,93,56,52,106,86,74,207,177,drove_alone
Census Tract 161,Crotona Park East,0,9,40,36,48,26,0,58,drove_alone
Census Tract 162,Schuylerville/Edgewater Park,33,12,18,47,75,28,16,106,drove_alone
Census Tract 164,Schuylerville/Edgewater Park,23,6,0,30,20,12,18,70,drove_alone
Census Tract 165,Claremont/Bathgate,0,0,17,17,4,30,38,9,drove_alone
Census Tract 166,Schuylerville/Edgewater Park,50,0,59,24,53,103,77,199,drove_alone
Census Tract 167,Claremont/Bathgate,14,15,60,24,83,82,33,92,drove_alone
Census Tract 169,Claremont/Bathgate,13,13,0,0,6,24,23,27,drove_alone
Census Tract 173,East Concourse/Concourse Village,0,0,1,78,32,0,0,31,drove_alone
Census Tract 175,East Concourse/Concourse Village,0,0,94,44,123,103,0,0,drove_alone
Census Tract 177.01,East Concourse/Concourse Village,16,37,0,0,17,0,49,40,drove_alone
Census Tract 177.02,East Concourse/Concourse Village,0,29,95,145,58,60,29,130,drove_alone
Census Tract 179.01,East Concourse/Concourse Village,6,14,0,98,47,7,83,23,drove_alone
Census Tract 179.02,East Concourse/Concourse Village,0,51,81,98,8,181,58,43,drove_alone
Census Tract 181.01,East Concourse/Concourse Village,82,49,39,57,104,88,0,0,drove_alone
Census Tract 181.02,East Concourse/Concourse Village,32,37,55,35,16,12,0,57,drove_alone
Census Tract 183.01,East Concourse/Concourse Village,26,6,53,0,30,46,30,0,drove_alone
Census Tract 183.02,East Concourse/Concourse Village,0,47,16,30,176,11,27,25,drove_alone
Census Tract 184,Schuylerville/Edgewater Park,41,17,65,216,131,179,130,217,drove_alone
Census Tract 185.01,Morrisania/Melrose,0,0,0,125,18,0,0,63,drove_alone
Census Tract 185.02,Morrisania/Melrose,3,5,9,59,83,123,0,19,drove_alone
Census Tract 189,Highbridge,0,49,112,138,96,96,118,23,drove_alone
Census Tract 193,Highbridge,0,0,18,0,0,48,0,63,drove_alone
Census Tract 194,Schuylerville/Edgewater Park,0,0,20,65,125,47,23,56,drove_alone
Census Tract 195,West Concourse,0,15,132,43,13,0,66,11,drove_alone
Census Tract 197,West Concourse,0,0,0,27,28,92,3,0,drove_alone
Census Tract 199,Highbridge,0,0,28,53,97,97,0,69,drove_alone
Census Tract 200,Van Nest/Morris Park,44,37,57,19,51,29,0,127,drove_alone
Census Tract 201,Highbridge,0,30,74,0,53,36,0,22,drove_alone
Census Tract 202,Westchester Village/Unionport,16,6,35,31,31,27,15,21,drove_alone
Census Tract 204,Westchester Village/Unionport,6,58,82,67,78,159,11,107,drove_alone
Census Tract 205.01,University Heights/Morris Heights,0,0,0,0,56,30,107,37,drove_alone
Census Tract 205.02,University Heights/Morris Heights,10,0,19,13,93,30,0,45,drove_alone
Census Tract 206.01,Westchester Village/Unionport,27,27,0,59,36,19,79,59,drove_alone
Census Tract 209,West Concourse,0,0,0,95,63,71,0,49,drove_alone
Census Tract 210.01,Parkchester,72,0,26,114,79,123,84,296,drove_alone
Census Tract 210.02,Parkchester,54,34,57,0,202,97,71,338,drove_alone
Census Tract 211,Highbridge,33,64,8,52,55,27,8,51,drove_alone
Census Tract 212,Parkchester,19,33,60,0,4,19,151,9,drove_alone
Census Tract 213.01,University Heights/Morris Heights,0,0,6,6,12,5,6,7,drove_alone
Census Tract 213.02,Highbridge,0,0,141,0,21,58,0,0,drove_alone
Census Tract 215.01,University Heights/Morris Heights,0,28,6,38,92,29,0,13,drove_alone
Census Tract 215.02,University Heights/Morris Heights,3,0,74,53,120,79,0,0,drove_alone
Census Tract 216.01,West Farms/Bronx River,18,11,89,81,62,34,0,45,drove_alone
Census Tract 216.02,Parkchester,51,0,34,0,14,26,44,166,drove_alone
Census Tract 217,University Heights/Morris Heights,0,45,115,0,70,29,14,44,drove_alone
Census Tract 218,West Farms/Bronx River,23,0,19,108,78,110,80,81,drove_alone
Census Tract 219,Highbridge,18,0,24,10,6,0,0,3,drove_alone
Census Tract 220,East Tremont,35,0,23,28,40,39,0,0,drove_alone
Census Tract 221.01,West Concourse,14,12,0,12,23,0,0,0,drove_alone
Census Tract 221.02,West Concourse,25,0,71,83,28,0,0,14,drove_alone
Census Tract 222,Parkchester,30,15,27,29,51,43,3,51,drove_alone
Census Tract 223,West Concourse,14,0,44,84,0,30,0,0,drove_alone
Census Tract 224.01,Pelham Parkway,11,0,12,22,66,13,15,134,drove_alone
Census Tract 224.03,Pelham Parkway,14,0,53,79,82,38,45,132,drove_alone
Census Tract 224.04,Pelham Parkway,9,19,51,122,204,88,51,43,drove_alone
Census Tract 225,East Concourse/Concourse Village,0,30,66,105,146,61,34,86,drove_alone
Census Tract 227.01,Mount Hope,0,15,24,20,49,0,0,37,drove_alone
Census Tract 227.02,Mount Hope,0,28,6,0,33,6,0,0,drove_alone
Census Tract 227.03,Mount Hope,11,0,14,0,0,0,33,17,drove_alone
Census Tract 228,Pelham Parkway,13,0,61,13,141,279,84,308,drove_alone
